,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,NACEA_(b),13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,NACEA_(b),13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
b_mining_and_quarrying,NACEA_(b),71.0,3.0,1.0,3.0,0.0,10.0,0.0,3.0,2.0,3.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0
b_mining_and_quarrying_percentage,NACEA_(b),0.5,0.5,0.2,0.6,0.0,1.8,0.0,0.6,0.4,0.6,0.3,0.1,0.8,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.7,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.1,0.1,0.2,0.5
c_manufacturing,NACEA_(b),1122.0,31.0,41.0,91.0,30.0,45.0,41.0,30.0,43.0,37.0,40.0,65.0,48.0,19.0,53.0,46.0,6.0,37.0,18.0,30.0,34.0,62.0,43.0,54.0,61.0,81.0,41.0,39.0,26.0,16.0,30.0,61.0,11.0,10.0,66.0,9.0,74.0,61.0,30.0
c_manufacturing_percentage,NACEA_(b),8.5,5.7,8.7,16.6,6.7,7.9,8.2,6.3,7.6,6.5,7.3,13.1,8.8,7.6,10.6,9.5,2.5,8.0,7.4,5.5,7.4,11.1,7.9,9.1,13.3,16.5,8.6,7.3,6.0,6.5,6.3,13.8,11.2,10.8,13.2,8.3,15.7,13.5,6.4
d_electricity_gas_steam_and_air_conditioning_supply,NACEA_(b),111.0,5.0,10.0,10.0,1.0,15.0,4.0,0.0,14.0,11.0,0.0,6.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,7.0,0.0,2.0,7.0,11.0,3.0,0.0,5.0,0.0,1.0,5.0,4.0
d_electricity_gas_steam_and_air_conditioning_supply_percentage,NACEA_(b),0.8,0.9,2.1,1.8,0.1,2.7,0.8,0.0,2.4,2.0,0.0,1.2,0.1,0.0,0.4,0.1,0.3,0.7,0.3,0.4,0.0,0.1,0.3,0.1,0.0,0.9,0.9,1.3,0.0,0.7,1.4,2.6,3.0,0.0,1.1,0.1,0.2,1.0,0.8
e_water_supply_sewerage_waste_management_and_remediation_activities,NACEA_(b),124.0,0.0,1.0,2.0,9.0,1.0,2.0,16.0,5.0,12.0,14.0,10.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,11.0,3.0,3.0,2.0,2.0,0.0,5.0,0.0,1.0,2.0,0.0,6.0,2.0,40.0
e_water_supply_sewerage_waste_management_and_remediation_activities_percentage,NACEA_(b),0.9,0.0,0.2,0.3,2.0,0.2,0.4,3.3,0.8,2.1,2.6,2.1,0.6,0.9,0.6,0.6,0.0,0.1,0.0,0.0,0.4,0.1,0.3,0.4,0.6,2.2,0.7,0.5,0.6,0.7,0.1,1.1,0.2,0.9,0.5,0.2,1.2,0.5,8.5
f_construction,NACEA_(b),1957.0,102.0,28.0,92.0,68.0,84.0,72.0,98.0,44.0,67.0,83.0,64.0,73.0,38.0,50.0,76.0,32.0,85.0,33.0,93.0,53.0,112.0,73.0,69.0,72.0,105.0,76.0,78.0,86.0,46.0,82.0,49.0,14.0,8.0,48.0,8.0,43.0,33.0,65.0
f_construction_percentage,NACEA_(b),14.9,18.8,5.8,17.0,15.4,14.8,14.5,20.6,7.8,11.9,15.3,13.0,13.4,15.4,10.0,15.6,12.6,18.1,13.1,16.8,11.7,20.2,13.5,11.6,15.7,21.4,16.1,14.4,19.8,18.5,17.5,11.0,15.0,8.5,9.7,7.4,9.2,7.2,13.7
g_wholesale_and_retail_trade_repair_of_motor_vehicles_and_motorcycles,NACEA_(b),3217.0,110.0,192.0,112.0,79.0,133.0,97.0,85.0,178.0,159.0,120.0,97.0,155.0,69.0,118.0,113.0,52.0,95.0,61.0,111.0,110.0,137.0,146.0,198.0,80.0,96.0,80.0,96.0,93.0,34.0,72.0,101.0,29.0,39.0,188.0,48.0,170.0,185.0,97.0
g_wholesale_and_retail_trade_repair_of_motor_vehicles_and_motorcycles_percentage,NACEA_(b),24.5,20.3,40.5,20.6,17.9,23.3,19.5,17.9,31.4,28.1,22.1,19.7,28.4,27.6,23.5,23.1,20.6,20.3,24.6,20.2,24.3,24.8,26.9,33.3,17.4,19.6,16.9,17.9,21.3,13.9,15.3,22.7,30.9,42.3,37.7,45.8,36.3,40.7,20.4
h_transportation_and_storage,NACEA_(b),777.0,36.0,39.0,30.0,25.0,37.0,57.0,34.0,29.0,38.0,22.0,46.0,22.0,8.0,80.0,60.0,12.0,63.0,15.0,11.0,61.0,31.0,29.0,54.0,42.0,23.0,56.0,31.0,21.0,11.0,19.0,18.0,7.0,22.0,39.0,14.0,36.0,52.0,6.0
