,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,12788.0,2891.0,4206.0,4756.0,5849.0,7291.0,11696.0,1442.0,4405.0,5439.0,5923.0,3538.0,9250.0,3295.0,1594.0,1131.0,464.0,16494.0
base_weighted_total,12519.0,2838.0,4138.0,4671.0,5744.0,7153.0,11476.0,1435.0,4347.0,5357.0,5828.0,3474.0,9048.0,3211.0,1593.0,1124.0,460.0,16237.0
aerospace_and_defence,139.0,41.0,53.0,57.0,61.0,79.0,118.0,23.0,33.0,49.0,53.0,32.0,106.0,38.0,34.0,13.0,5.0,187.0
aerospace_and_defence_percentage,1.1,1.4,1.3,1.2,1.1,1.1,1.0,1.6,0.8,0.9,0.9,0.9,1.2,1.2,2.1,1.2,1.0,1.2
agri_food,258.0,47.0,68.0,80.0,113.0,139.0,234.0,23.0,104.0,123.0,136.0,82.0,178.0,62.0,18.0,16.0,7.0,303.0
agri_food_percentage,2.1,1.7,1.7,1.7,2.0,1.9,2.0,1.6,2.4,2.3,2.3,2.4,2.0,1.9,1.1,1.4,1.5,1.9
construction,2615.0,573.0,862.0,962.0,1148.0,1427.0,2440.0,279.0,1140.0,1326.0,1437.0,841.0,1791.0,662.0,203.0,236.0,72.0,3176.0
construction_percentage,20.9,20.2,20.8,20.6,20.0,19.9,21.3,19.4,26.2,24.8,24.6,24.2,19.8,20.6,12.8,21.0,15.6,19.6
cultural_and_creative_industries,870.0,212.0,346.0,379.0,455.0,565.0,866.0,108.0,270.0,312.0,341.0,206.0,659.0,213.0,81.0,42.0,13.0,1057.0
cultural_and_creative_industries_percentage,6.9,7.5,8.4,8.1,7.9,7.9,7.5,7.5,6.2,5.8,5.9,5.9,7.3,6.6,5.1,3.8,2.9,6.5
digital,789.0,134.0,196.0,237.0,309.0,410.0,698.0,148.0,323.0,393.0,429.0,276.0,521.0,181.0,117.0,87.0,10.0,933.0
digital_percentage,6.3,4.7,4.7,5.1,5.4,5.7,6.1,10.3,7.4,7.3,7.4,7.9,5.8,5.6,7.4,7.8,2.1,5.7
electronics,134.0,21.0,28.0,32.0,43.0,66.0,116.0,48.0,57.0,67.0,73.0,51.0,85.0,31.0,29.0,18.0,2.0,165.0
electronics_percentage,1.1,0.7,0.7,0.7,0.7,0.9,1.0,3.3,1.3,1.2,1.3,1.5,0.9,1.0,1.8,1.6,0.4,1.0
energy_renewables,252.0,49.0,66.0,82.0,108.0,142.0,225.0,49.0,81.0,95.0,107.0,74.0,179.0,61.0,29.0,36.0,6.0,303.0
energy_renewables_percentage,2.0,1.7,1.6,1.8,1.9,2.0,2.0,3.4,1.9,1.8,1.8,2.1,2.0,1.9,1.8,3.2,1.3,1.9
energy_intensive_industries,145.0,38.0,46.0,53.0,61.0,78.0,116.0,20.0,32.0,53.0,59.0,29.0,114.0,35.0,34.0,11.0,9.0,208.0
energy_intensive_industries_percentage,1.2,1.3,1.1,1.1,1.1,1.1,1.0,1.4,0.7,1.0,1.0,0.8,1.3,1.1,2.1,1.0,1.9,1.3
health,70.0,16.0,34.0,37.0,38.0,46.0,77.0,7.0,34.0,47.0,51.0,29.0,42.0,18.0,3.0,14.0,4.0,110.0
health_percentage,0.6,0.6,0.8,0.8,0.7,0.6,0.7,0.5,0.8,0.9,0.9,0.8,0.5,0.6,0.2,1.2,0.9,0.7
mobility_transport_automotive,1358.0,264.0,394.0,441.0,586.0,740.0,1234.0,175.0,534.0,658.0,714.0,395.0,966.0,343.0,199.0,93.0,26.0,1668.0
mobility_transport_automotive_percentage,10.8,9.3,9.5,9.4,10.2,10.3,10.8,12.2,12.3,12.3,12.3,11.4,10.7,10.7,12.5,8.3,5.5,10.3
proximity_local_and_short_value_chains_social_economy_and_civil_security,1314.0,298.0,415.0,464.0,629.0,781.0,1193.0,152.0,365.0,438.0,483.0,305.0,1001.0,360.0,112.0,196.0,90.0,1828.0
proximity_local_and_short_value_chains_social_economy_and_civil_security_percentage,10.5,10.5,10.0,9.9,10.9,10.9,10.4,10.6,8.4,8.2,8.3,8.8,11.1,11.2,7.1,17.4,19.5,11.3
retail,2708.0,621.0,883.0,1012.0,1226.0,1497.0,2389.0,222.0,887.0,1238.0,1338.0,787.0,1927.0,698.0,578.0,173.0,91.0,3675.0
retail_percentage,21.6,21.9,21.3,21.7,21.3,20.9,20.8,15.5,20.4,23.1,22.9,22.6,21.3,21.8,36.3,15.4,19.9,22.6
textile,123.0,16.0,38.0,42.0,56.0,69.0,132.0,11.0,81.0,93.0,100.0,53.0,73.0,29.0,32.0,6.0,2.0,182.0
textile_percentage,1.0,0.6,0.9,0.9,1.0,1.0,1.2,0.7,1.9,1.7,1.7,1.5,0.8,0.9,2.0,0.5,0.4,1.1
tourism,1173.0,354.0,501.0,566.0,663.0,809.0,1139.0,119.0,205.0,241.0,258.0,159.0,990.0,328.0,43.0,159.0,98.0,1704.0
tourism_percentage,9.4,12.5,12.1,12.1,11.5,11.3,9.9,8.3,4.7,4.5,4.4,4.6,10.9,10.2,2.7,14.2,21.3,10.5
not_applicable_do_not_read_out_,504.0,137.0,181.0,200.0,221.0,269.0,442.0,36.0,183.0,205.0,230.0,140.0,364.0,139.0,70.0,13.0,18.0,623.0
not_applicable_do_not_read_out__percentage,4.0,4.8,4.4,4.3,3.9,3.8,3.9,2.5,4.2,3.8,4.0,4.0,4.0,4.3,4.4,1.2,3.9,3.8
don_t_know_no_answer,66.0,18.0,25.0,27.0,28.0,38.0,58.0,18.0,17.0,17.0,20.0,15.0,50.0,11.0,11.0,9.0,9.0,112.0
don_t_know_no_answer_percentage,0.5,0.6,0.6,0.6,0.5,0.5,0.5,1.2,0.4,0.3,0.3,0.4,0.6,0.3,0.7,0.8,1.9,0.7
