,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
yes_you_purchase_energy_from_a_renewable_energy_supplier,3023.0,806.0,1227.0,1349.0,1613.0,2079.0,2943.0,602.0,555.0,672.0,719.0,574.0,2413.0,740.0,87.0,367.0,46.0,3433.0
yes_you_purchase_energy_from_a_renewable_energy_supplier_percentage,23.0,26.9,28.2,27.4,26.7,27.7,24.5,41.1,12.3,12.1,11.9,15.9,25.4,21.9,5.4,31.6,9.8,20.3
yes_you_generate_renewable_energy_onsite_e_g_solar_panels_wind_power_,1550.0,322.0,501.0,569.0,710.0,888.0,1475.0,187.0,630.0,730.0,791.0,490.0,1069.0,361.0,53.0,149.0,44.0,1848.0
yes_you_generate_renewable_energy_onsite_e_g_solar_panels_wind_power__percentage,11.8,10.7,11.5,11.6,11.8,11.8,12.3,12.8,14.0,13.1,13.1,13.6,11.2,10.7,3.3,12.8,9.4,10.9
no,8239.0,1813.0,2546.0,2916.0,3579.0,4358.0,7301.0,618.0,3205.0,4047.0,4422.0,2458.0,5808.0,2184.0,1478.0,566.0,367.0,11241.0
no_percentage,62.8,60.4,58.5,59.2,59.3,58.1,60.9,42.2,71.2,72.7,72.9,68.0,61.1,64.7,91.2,48.8,77.3,66.5
don_t_know_no_answer,313.0,61.0,81.0,87.0,130.0,171.0,277.0,58.0,108.0,120.0,130.0,92.0,221.0,90.0,2.0,79.0,17.0,385.0
don_t_know_no_answer_percentage,2.4,2.0,1.9,1.8,2.2,2.3,2.3,3.9,2.4,2.2,2.1,2.6,2.3,2.7,0.1,6.8,3.6,2.3
total_yes_,4573.0,1129.0,1729.0,1918.0,2323.0,2968.0,4418.0,790.0,1185.0,1402.0,1510.0,1064.0,3481.0,1100.0,140.0,515.0,91.0,5282.0
total_yes__percentage,34.8,37.6,39.7,39.0,38.5,39.6,36.8,53.9,26.3,25.2,24.9,29.4,36.6,32.6,8.6,44.4,19.1,31.2
