,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,3083.0,864.0,1202.0,1324.0,1627.0,2187.0,2911.0,560.0,724.0,907.0,976.0,862.0,2221.0,798.0,249.0,403.0,101.0,3929.0
base_weighted_total,2767.0,731.0,1038.0,1140.0,1398.0,1784.0,2578.0,472.0,571.0,721.0,776.0,587.0,2155.0,709.0,135.0,311.0,108.0,3405.0
generally_reducing_carbon_emissions_of_your_company,1466.0,323.0,488.0,541.0,728.0,942.0,1377.0,280.0,330.0,431.0,462.0,369.0,1092.0,372.0,83.0,207.0,86.0,1978.0
generally_reducing_carbon_emissions_of_your_company_percentage,53.0,44.2,47.0,47.5,52.1,52.8,53.4,59.4,57.8,59.8,59.6,62.9,50.7,52.5,61.5,66.6,79.4,58.1
adopting_purchasing_new_technological_solutions_to_reduce_emissions,1312.0,309.0,447.0,494.0,641.0,827.0,1217.0,240.0,305.0,382.0,411.0,314.0,991.0,321.0,80.0,182.0,62.0,1684.0
adopting_purchasing_new_technological_solutions_to_reduce_emissions_percentage,47.4,42.2,43.1,43.3,45.9,46.3,47.2,50.8,53.5,53.0,52.9,53.5,46.0,45.4,59.6,58.3,57.2,49.5
developing_new_technological_solutions_to_reduce_emissions,980.0,240.0,336.0,372.0,479.0,604.0,898.0,140.0,239.0,299.0,321.0,237.0,738.0,248.0,77.0,115.0,36.0,1213.0
developing_new_technological_solutions_to_reduce_emissions_percentage,35.4,32.8,32.3,32.6,34.3,33.9,34.8,29.7,41.8,41.4,41.4,40.4,34.3,35.0,57.2,37.0,33.1,35.6
offsetting_carbon_emissions_by_purchasing_carbon_credits_or_funding_an_equivalent_carbon_saving_elsewhere,264.0,61.0,130.0,141.0,154.0,206.0,307.0,78.0,83.0,90.0,96.0,80.0,185.0,58.0,34.0,52.0,20.0,454.0
offsetting_carbon_emissions_by_purchasing_carbon_credits_or_funding_an_equivalent_carbon_saving_elsewhere_percentage,9.5,8.3,12.5,12.3,11.0,11.5,11.9,16.6,14.5,12.5,12.4,13.7,8.6,8.2,25.4,16.8,18.6,13.3
other_do_not_read_out_,123.0,34.0,43.0,47.0,58.0,71.0,109.0,11.0,34.0,36.0,38.0,25.0,97.0,37.0,0.0,18.0,0.0,116.0
other_do_not_read_out__percentage,4.4,4.7,4.2,4.1,4.2,4.0,4.2,2.4,5.9,4.9,4.9,4.2,4.5,5.2,0.2,5.8,0.0,3.4
none_do_not_read_out_,230.0,74.0,90.0,99.0,105.0,140.0,196.0,53.0,34.0,49.0,53.0,38.0,188.0,56.0,15.0,16.0,9.0,271.0
none_do_not_read_out__percentage,8.3,10.1,8.6,8.7,7.5,7.8,7.6,11.2,5.9,6.8,6.9,6.5,8.7,7.9,11.3,5.3,8.8,8.0
don_t_know_no_answer,93.0,31.0,39.0,41.0,49.0,58.0,83.0,4.0,17.0,20.0,21.0,14.0,78.0,30.0,0.0,5.0,0.0,87.0
don_t_know_no_answer_percentage,3.4,4.3,3.7,3.6,3.5,3.2,3.2,0.8,3.0,2.8,2.7,2.4,3.6,4.2,0.3,1.6,0.0,2.5
