,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
very_difficult,4829.0,1231.0,1594.0,1808.0,2299.0,2769.0,4229.0,310.0,1296.0,1635.0,1796.0,1017.0,3768.0,1352.0,379.0,242.0,115.0,5474.0
very_difficult_percentage,36.8,41.0,36.6,36.7,38.1,36.9,35.3,21.2,28.8,29.4,29.6,28.1,39.6,40.1,23.4,20.8,24.3,32.4
slightly_difficult,2502.0,681.0,1001.0,1119.0,1265.0,1561.0,2390.0,274.0,743.0,881.0,945.0,566.0,1919.0,585.0,279.0,355.0,107.0,3357.0
slightly_difficult_percentage,19.1,22.7,23.0,22.7,21.0,20.8,19.9,18.7,16.5,15.8,15.6,15.7,20.2,17.4,17.2,30.6,22.5,19.9
not_difficult_at_all,1391.0,301.0,634.0,697.0,858.0,1068.0,1571.0,213.0,393.0,426.0,472.0,300.0,1080.0,338.0,471.0,250.0,104.0,2633.0
not_difficult_at_all_percentage,10.6,10.0,14.5,14.2,14.2,14.2,13.1,14.5,8.7,7.6,7.8,8.3,11.4,10.0,29.0,21.5,21.9,15.6
not_relevant_we_did_not_need_to_hire_anyone_in_the_past_24_months_,4262.0,741.0,1034.0,1198.0,1504.0,1974.0,3632.0,661.0,2039.0,2594.0,2813.0,1705.0,2632.0,1053.0,480.0,306.0,145.0,5236.0
not_relevant_we_did_not_need_to_hire_anyone_in_the_past_24_months__percentage,32.5,24.7,23.7,24.3,24.9,26.3,30.3,45.1,45.3,46.6,46.4,47.2,27.7,31.2,29.6,26.3,30.5,31.0
don_t_know_no_answer,139.0,50.0,93.0,100.0,105.0,124.0,173.0,7.0,29.0,33.0,36.0,26.0,111.0,45.0,11.0,8.0,3.0,207.0
don_t_know_no_answer_percentage,1.1,1.6,2.1,2.0,1.7,1.7,1.4,0.5,0.6,0.6,0.6,0.7,1.2,1.3,0.7,0.7,0.7,1.2
