,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
before_1_january_2016,10010.0,2275.0,3353.0,3781.0,4662.0,5774.0,9349.0,1077.0,3662.0,4262.0,4662.0,2777.0,7236.0,2693.0,1314.0,876.0,419.0,13325.0
before_1_january_2016_percentage,76.3,75.7,77.0,76.8,77.3,77.0,77.9,73.5,81.4,76.5,76.9,76.8,76.1,79.8,81.1,75.5,88.2,78.8
between_1_january_2016_and_31_december_2018,1477.0,327.0,451.0,514.0,651.0,806.0,1275.0,149.0,458.0,650.0,695.0,411.0,1066.0,363.0,150.0,138.0,24.0,1694.0
between_1_january_2016_and_31_december_2018_percentage,11.3,10.9,10.4,10.4,10.8,10.7,10.6,10.2,10.2,11.7,11.5,11.4,11.2,10.7,9.2,11.9,5.1,10.0
between_1_january_2019_and_1_january_2023,1246.0,277.0,378.0,436.0,505.0,662.0,1005.0,217.0,301.0,568.0,610.0,383.0,869.0,257.0,114.0,110.0,22.0,1418.0
between_1_january_2019_and_1_january_2023_percentage,9.5,9.2,8.7,8.9,8.4,8.8,8.4,14.8,6.7,10.2,10.1,10.6,9.1,7.6,7.0,9.5,4.7,8.4
after_1_january_2023,339.0,117.0,159.0,174.0,192.0,226.0,321.0,13.0,61.0,69.0,73.0,32.0,298.0,52.0,21.0,32.0,9.0,397.0
after_1_january_2023_percentage,2.6,3.9,3.7,3.5,3.2,3.0,2.7,0.9,1.4,1.2,1.2,0.9,3.1,1.6,1.3,2.8,1.8,2.3
don_t_know_no_answer,52.0,7.0,15.0,17.0,22.0,29.0,46.0,9.0,16.0,20.0,22.0,10.0,41.0,9.0,21.0,4.0,1.0,73.0
don_t_know_no_answer_percentage,0.4,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.3,0.4,0.3,1.3,0.3,0.1,0.4
