,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
increased_10_or_more_annually_on_average_over_the_past_three_years,2792.0,518.0,709.0,863.0,1108.0,1353.0,2329.0,199.0,1110.0,1492.0,1639.0,917.0,1896.0,679.0,598.0,367.0,96.0,3727.0
increased_10_or_more_annually_on_average_over_the_past_three_years_percentage,21.3,17.3,16.3,17.5,18.4,18.0,19.4,13.6,24.7,26.8,27.0,25.4,19.9,20.1,36.9,31.6,20.2,22.0
increased_by_less_than_10_annually_on_average_over_the_past_three_years,1905.0,458.0,705.0,792.0,1006.0,1222.0,1811.0,164.0,474.0,616.0,671.0,387.0,1499.0,468.0,121.0,180.0,51.0,2321.0
increased_by_less_than_10_annually_on_average_over_the_past_three_years_percentage,14.5,15.2,16.2,16.1,16.7,16.3,15.1,11.2,10.5,11.1,11.1,10.7,15.8,13.9,7.5,15.5,10.8,13.7
remained_unchanged,4626.0,1105.0,1541.0,1719.0,2065.0,2665.0,4215.0,777.0,1510.0,1800.0,1965.0,1265.0,3359.0,1171.0,414.0,364.0,185.0,5808.0
remained_unchanged_percentage,35.2,36.8,35.4,34.9,34.2,35.5,35.1,53.0,33.6,32.3,32.4,35.0,35.3,34.7,25.5,31.4,38.8,34.4
decreased,3136.0,712.0,1116.0,1235.0,1491.0,1831.0,3036.0,300.0,1290.0,1518.0,1630.0,956.0,2194.0,847.0,377.0,194.0,93.0,4063.0
decreased_percentage,23.9,23.7,25.6,25.1,24.7,24.4,25.3,20.5,28.7,27.3,26.9,26.4,23.1,25.1,23.3,16.7,19.5,24.0
don_t_know_no_answer,665.0,210.0,285.0,314.0,361.0,427.0,604.0,25.0,115.0,143.0,156.0,89.0,562.0,209.0,110.0,55.0,51.0,988.0
don_t_know_no_answer_percentage,5.1,7.0,6.5,6.4,6.0,5.7,5.0,1.7,2.5,2.6,2.6,2.5,5.9,6.2,6.8,4.8,10.7,5.8
