,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,11376.0,2490.0,3583.0,4119.0,5117.0,6478.0,10397.0,1361.0,3919.0,4872.0,5271.0,3181.0,8195.0,2884.0,1067.0,1021.0,274.0,14185.0
base_weighted_total,11408.0,2553.0,3697.0,4203.0,5190.0,6473.0,10395.0,1323.0,3951.0,4910.0,5340.0,3186.0,8228.0,2888.0,904.0,1007.0,292.0,13611.0
up_to_100_000,3003.0,319.0,560.0,684.0,979.0,1262.0,2531.0,363.0,1682.0,2343.0,2539.0,1365.0,1713.0,619.0,217.0,142.0,81.0,3586.0
up_to_100_000_percentage,26.3,12.5,15.1,16.3,18.9,19.5,24.4,27.4,42.6,47.7,47.5,42.9,20.8,21.4,24.0,14.1,27.6,26.3
_100_001_500_000,4068.0,933.0,1341.0,1532.0,1898.0,2357.0,3773.0,455.0,1417.0,1615.0,1763.0,1074.0,2988.0,1077.0,310.0,187.0,64.0,4604.0
_100_001_500_000_percentage,35.7,36.6,36.3,36.4,36.6,36.4,36.3,34.4,35.9,32.9,33.0,33.7,36.3,37.3,34.3,18.6,21.9,33.8
_500_001_2_000_000,2655.0,763.0,1064.0,1181.0,1392.0,1714.0,2505.0,293.0,601.0,671.0,732.0,496.0,2126.0,732.0,160.0,418.0,103.0,3314.0
_500_001_2_000_000_percentage,23.3,29.9,28.8,28.1,26.8,26.5,24.1,22.1,15.2,13.7,13.7,15.6,25.8,25.3,17.7,41.5,35.3,24.3
_2_000_001_10_000_000,1029.0,297.0,420.0,468.0,557.0,700.0,979.0,155.0,167.0,187.0,205.0,173.0,840.0,278.0,146.0,199.0,36.0,1364.0
_2_000_001_10_000_000_percentage,9.0,11.6,11.4,11.1,10.7,10.8,9.4,11.7,4.2,3.8,3.8,5.4,10.2,9.6,16.1,19.8,12.4,10.0
more_than_10_000_000,654.0,241.0,312.0,339.0,364.0,442.0,607.0,58.0,85.0,95.0,102.0,78.0,562.0,182.0,72.0,61.0,8.0,744.0
more_than_10_000_000_percentage,5.7,9.4,8.4,8.1,7.0,6.8,5.8,4.4,2.1,1.9,1.9,2.4,6.8,6.3,8.0,6.0,2.8,5.5
